title;rating;ratingLevel;release year;user rating score;ageGroup
Madam Secretary;TV-14;Parents strongly cautioned. May be unsuitable for children ages 14 and under.;2016;70.0;Teen
American Crime Story: The People v. O.J. Simpson;TV-MA;For mature audiences.  May not be suitable for children 17 and under.;2016;79.0;Adult
The Nightmare Before Christmas;PG;some scary images;1993;84.0;Parental Guidance
Scooby-Doo;PG;some rude humor, language and some scary action;2002;86.0;Parental Guidance
Chicken Little;G;General Audiences. Suitable for all ages.;2005;92.0;Family
Teenage Mutant Ninja Turtles;PG;animated action violence, some scary cartoon images and mild language;2007;86.0;Parental Guidance
Star Wars: The Clone Wars;PG;sci-fi action violence throughout, brief language and momentary smoking;2008;57.0;Parental Guidance
The Smurfs and the Magic Flute;G;General Audiences. Suitable for all ages.;1976;70.0;Family
We're Back! A Dinosaur's Story;G;General Audiences. Suitable for all ages.;1993;70.0;Family
Thomas & Friends: Thomas & the Runaway Kite;TV-Y;Suitable for all ages.;2010;75.5;Kids
Dino Squad;TV-Y7;Suitable for children ages 7 and older;2008;74.5;Kids
Cars Toons: Mater's Tall Tales;TV-G;Suitable for all ages.;2010;74.0;Family
LeapFrog: The Amazing Alphabet Amusement Park;TV-Y;Suitable for all ages.;2010;75.5;Kids
Star Wars: The Clone Wars;TV-PG;Parental guidance suggested. May not be suitable for all children.;2014;93.0;Parental Guidance
Phineas and Ferb;TV-G;Suitable for all ages.;2012;89.0;Family
The Batman;TV-Y7;Suitable for children ages 7 and older;2007;77.0;Kids
Justice League;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2003;66.0;Kids
Justice League Unlimited;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2005;72.0;Kids
Mighty Morphin Power Rangers;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2010;73.0;Kids
Young Justice;TV-PG;Parental guidance suggested. May not be suitable for all children.;2012;71.0;Parental Guidance
The Super Mario Bros. Super Show!;TV-Y7;Suitable for children ages 7 and older;1989;74.5;Kids
Power Rangers Zeo;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;1996;72.0;Kids
Oscar's Oasis;TV-G;Suitable for all ages.;2011;74.0;Family
Transformers Prime;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2013;72.0;Kids
The Adventures of Chuck & Friends;TV-Y;Suitable for all ages.;2011;75.5;Kids
Transformers: Rescue Bots;TV-Y7;Suitable for children ages 7 and older;2016;74.5;Kids
Thomas & Friends: King of the Railway;TV-G;Suitable for all ages.;2013;74.0;Family
LEGO: Marvel Super Heroes: Maximum Overload;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2013;72.0;Kids
Max Steel;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2014;72.0;Kids
Transformers Prime Beast Hunters: Predacons Rising;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2013;72.0;Kids
Agent F.O.X.;PG;Parental guidance suggested. May not be suitable for children.;2014;86.0;Parental Guidance
VeggieTales in the House;TV-Y;Suitable for all ages.;2016;75.5;Kids
Thunder and the House Of Magic;TV-G;Suitable for all ages.;2013;74.0;Family
All Hail King Julien;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2016;71.0;Kids
Kong: King of the Apes;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2016;72.0;Kids
Marvel Super Hero Adventures: Frost Fight!;PG;fantasy action;2015;86.0;Parental Guidance
Slugterra: Slug Fu Showdown;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2015;72.0;Kids
Dinotrux;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2017;72.0;Kids
Edgar Rice Burroughs' Tarzan and Jane;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2017;72.0;Kids
Lego DC Comics: Batman Be-Leaguered;TV-Y7;Suitable for children ages 7 and older;2014;74.5;Kids
Power Rangers Dino Charge;TV-Y7;Suitable for children ages 7 and older;2015;74.5;Kids
Bunks;TV-PG;Parental guidance suggested. May not be suitable for all children.;2013;88.0;Parental Guidance
The Jungle Book;PG;for some sequences of scary action and peril;2016;97.0;Parental Guidance
The Angry Birds Movie;PG;for rude humor and action;2016;92.0;Parental Guidance
The Secret Life of Pets;PG;for action and some rude humor;2016;86.0;Parental Guidance
The Furchester Hotel;TV-Y;Suitable for all ages.;2015;75.5;Kids
Marvel's Hulk: Where Monsters Dwell;PG;action violence throughout, some scary images, and language;2016;86.0;Parental Guidance
Angry Birds;TV-G;Suitable for all ages.;2013;74.0;Family
Talking Tom and Friends;TV-G;Suitable for all ages.;2016;61.0;Family
Nexo Knights;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2015;72.0;Kids
An Extremely Goofy Movie;G;General Audiences. Suitable for all ages.;1999;67.0;Family
The Iron Giant;PG;fantasy action and mild language;1999;83.0;Parental Guidance
The Cat in the Hat Knows a Lot About That!;TV-Y;Suitable for all ages.;2014;75.5;Kids
Bob the Builder;TV-Y;Suitable for all ages.;2015;75.5;Kids
Beyblade: Metal Fusion;TV-Y7;Suitable for children ages 7 and older;2009;74.5;Kids
Ninja Turtles: The Next Mutation;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;1997;72.0;Kids
DreamWorks Kung Fu Panda Awesome Secrets;TV-PG;Parental guidance suggested. May not be suitable for all children.;2008;88.0;Parental Guidance
LEGO Ninjago: Masters of Spinjitzu;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2015;67.0;Kids
Goosebumps;TV-Y7;Suitable for children ages 7 and older;1998;88.0;Kids
LEGO Ninjago: Masters of Spinjitzu: Way of the Ninja;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2011;72.0;Kids
Super Buddies;G;General Audiences. Suitable for all ages.;2013;70.0;Family
Tad: The Lost Explorer;TV-PG;Parental guidance suggested. May not be suitable for all children.;2012;88.0;Parental Guidance
Pok?⌐mon: Indigo League;TV-Y;Suitable for all ages.;2000;74.0;Kids
Ratchet and Clank;PG;action and some rude humor;2016;74.0;Parental Guidance
Pac-Man and the Ghostly Adventures;TV-Y7;Suitable for children ages 7 and older;2014;74.5;Kids
Iron Man & Captain America: Heroes United;PG;action and violence throughout, and mild language;2014;86.0;Parental Guidance
Power Rangers Super Megaforce;TV-Y7;Suitable for children ages 7 and older;2014;74.5;Kids
Chuggington;TV-Y;Suitable for all ages.;2015;75.5;Kids
The Adventures of Puss in Boots;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2016;78.0;Kids
Some Assembly Required;TV-G;Suitable for all ages.;2015;74.0;Family
Kulipari: An Army of Frogs;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2016;72.0;Kids
Transformers: Robots in Disguise;TV-Y7;Suitable for children ages 7 and older;2016;74.5;Kids
Robocar Poli;TV-Y;Suitable for all ages.;2012;75.5;Kids
LEGO Bionicle: The Journey to One;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2016;72.0;Kids
Voltron: Legendary Defender;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2017;72.0;Kids
Buddy Thunderstruck;TV-PG;Parental guidance suggested. May not be suitable for all children.;2017;88.0;Parental Guidance
Pok?⌐mon: XY;TV-Y7-FV;Suitable for children ages 7 and older.  Content contains fantasy violence.;2015;56.0;Kids
Power Rangers Dino Super Charge;TV-Y7;Suitable for children ages 7 and older;2016;74.5;Kids
The Deep;TV-Y7;Suitable for children ages 7 and older;2015;74.5;Kids
Skylanders Academy;TV-Y7;Suitable for children ages 7 and older;2016;74.5;Kids
Growing Up Wild;G;General Audiences. Suitable for all ages.;2016;80.0;Family
The Little Rascals;PG;some rude dialogue;1994;86.0;Parental Guidance
Flubber;PG;slapstick action and mild language;1997;83.0;Parental Guidance
Tarzan;G;General Audiences. Suitable for all ages.;1999;95.0;Family
The Emperor's New Groove;G;General Audiences. Suitable for all ages.;2000;95.0;Family
Lilo & Stitch;PG;mild sci-fi action;2002;95.0;Parental Guidance
