title;rating_x;ratingLevel;release year;user rating score;ageGroup;director;cast;country;date_added;release_year_x;duration;listed_in;imdb_score;imdb_votes;budget;genres;popularity;production_companies;release_date;revenue;runtime_y;type
the last unicorn;G;General Audiences. Suitable for all ages.;1982;;Family;;;;;;;;;;0;['Fantasy', 'Animation', 'Family'];6.634939;['Topcraft', 'Rankin/Bass Productions', 'Incorporated Television Company'];1982-11-19;6455530.0;92.0;
brother bear 2;G;General Audiences. Suitable for all ages.;2006;57.0;Family;;;;;;;;;;0;['Adventure', 'Animation', 'Family'];10.861154;['DisneyToon Studios'];2006-08-17;0.0;73.0;
the fox and the hound 2;G;General Audiences. Suitable for all ages.;2006;;Family;;;;;;;;;;24000000;['Adventure', 'Animation', 'Comedy', 'Family'];7.432461;['Walt Disney Pictures', 'DisneyToon Studios', 'Hot Donut Productions'];2006-11-09;0.0;69.0;
jetsons: the movie;G;General Audiences. Suitable for all ages.;1990;;Family;;;;;;;;;;0;['Animation', 'Comedy', 'Family', 'Science Fiction'];9.063683;['Universal Pictures', 'Hanna-Barbera Productions'];1990-06-06;0.0;82.0;
a monster in paris;PG;some action violence involving gunplay, and mild rude humor;2011;;Parental Guidance;;;;;;;;;;25000000;['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy'];7.093805;['Europa Corp', 'Scanbox'];2011-10-12;0.0;90.0;
the gruffalo;TV-Y;Suitable for all ages.;2009;;Kids;;;;;;;;;;0;['Animation', 'Family'];8.575933;['Magic Light Pictures'];2009-12-25;0.0;27.0;
dreamworks how to train your dragon legends;TV-PG;Parental guidance suggested. May not be suitable for all children.;2011;;Parental Guidance;;Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Christopher Mintz-Plasse, Jonah Hill, T.J. Miller, Kristen Wiig, Jim Cummings, Tress MacNeille;United States;July 20, 2012;2011.0;1 Season;Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy;7.3;264.0;;;;;;;;TV Show
ernest & celestine;PG;some scary moments;2012;;Parental Guidance;;;;;;;;;;12516654;['Animation', 'Comedy', 'Drama', 'Family'];7.225779;['StudioCanal', 'La Parti Productions', 'Les Armateurs', 'Melusine Productions', 'Maybe Movies', 'Gkids'];2012-12-12;8109160.0;78.0;
animaniacs;TV-Y7;Suitable for children ages 7 and older;1997;72.0;Kids;;;;;;;;;;;;;;;;;
disney animation collection: vol. 4: the tortoise and the hare;TV-G;Suitable for all ages.;2009;;Family;;;;;;;;;;;;;;;;;
poppixie;TV-G;Suitable for all ages.;2011;;Family;;;;;;;;;;;;;;;;;
